time,tracking_error,contact_force
0.002000,0.328251,-0.000000
0.042000,0.326230,-0.000000
0.082000,0.323861,-0.000000
0.122000,0.321452,-0.000000
0.162000,0.318986,-0.000000
0.202000,0.316507,-0.000000
0.242000,0.314025,-0.000000
0.282000,0.311548,-0.000000
0.322000,0.309062,-0.000000
0.362000,0.306576,-0.000000
0.402000,0.304083,-0.000000
0.442000,0.301594,-0.000000
0.482000,0.299083,-0.000000
0.522000,0.296582,-0.000000
0.562000,0.294070,-0.000000
0.602000,0.291552,-0.000000
0.642000,0.289018,-0.000000
0.682000,0.286487,-0.000000
0.722000,0.284001,-0.000000
0.762000,0.281491,-0.000000
0.802000,0.279020,-0.000000
0.842000,0.276591,-0.000000
0.882000,0.274152,-0.000000
0.922000,0.271746,-0.000000
0.962000,0.269435,-0.000000
1.002000,0.267176,-0.000000
1.042000,0.264956,-0.000000
1.082000,0.262826,-0.000000
1.122000,0.260742,-0.000000
1.162000,0.258611,-0.000000
1.202000,0.256510,-0.000000
1.242000,0.254461,-0.000000
1.282000,0.252577,-0.000000
1.322000,0.250741,-0.000000
1.362000,0.248903,-0.000000
1.402000,0.247116,-0.000000
1.442000,0.245382,-0.000000
1.482000,0.243693,-0.000000
1.522000,0.242055,-0.000000
1.562000,0.240476,-0.000000
1.602000,0.239086,-0.000000
1.642000,0.237766,-0.000000
1.682000,0.236433,-0.000000
1.722000,0.235127,-0.000000
1.762000,0.233859,-0.000000
1.802000,0.232634,-0.000000
1.842000,0.231457,-0.000000
1.882000,0.230321,-0.000000
1.922000,0.229225,-0.000000
1.962000,0.228170,0.068086
2.002000,0.227156,0.193187
2.042000,0.226182,0.315502
2.082000,0.225245,0.434795
2.122000,0.224344,0.550856
2.162000,0.223477,0.663504
2.202000,0.222643,0.772603
2.242000,0.221840,0.878061
2.282000,0.221066,0.979839
2.322000,0.220100,1.094334
2.362000,0.218706,1.139401
2.402000,0.217404,0.810721
2.442000,0.216186,0.438610
2.482000,0.215035,0.058062
2.522000,0.213946,-0.000000
2.562000,0.212919,-0.000000
2.602000,0.211873,-0.000000
2.642000,0.212341,-0.000000
2.682000,0.213585,-0.000000
2.722000,0.214231,-0.000000
2.762000,0.214932,-0.000000
2.802000,0.215819,-0.000000
2.842000,0.216856,0.179581
2.882000,0.217967,0.333710
2.922000,0.219055,0.416220
2.962000,0.220246,0.460779
3.002000,0.221420,0.373930
3.042000,0.222410,0.293794
3.082000,0.223479,0.061607
3.122000,0.224586,-0.000000
3.162000,0.223934,-0.000000
3.202000,0.224231,-0.000000
3.242000,0.225226,-0.000000
3.282000,0.226245,-0.000000
3.322000,0.227288,-0.000000
3.362000,0.228301,-0.000000
3.402000,0.229282,-0.000000
3.442000,0.230229,-0.000000
3.482000,0.231150,-0.000000
3.522000,0.232042,-0.000000
3.562000,0.232901,-0.000000
3.602000,0.233746,-0.000000
3.642000,0.234564,-0.000000
3.682000,0.235357,-0.000000
3.722000,0.236088,-0.000000
3.762000,0.234345,-0.000000
3.802000,0.233756,-0.000000
3.842000,0.234301,-0.000000
3.882000,0.235085,-0.000000
3.922000,0.235808,-0.000000
3.962000,0.236322,-0.000000
4.002000,0.236607,-0.000000
4.042000,0.237326,-0.000000
4.082000,0.238034,-0.000000
4.122000,0.236870,-0.000000
4.162000,0.234178,0.163099
4.202000,0.231777,0.352897
4.242000,0.230151,0.535687
4.282000,0.227796,0.710895
4.322000,0.225827,0.879165
4.362000,0.223377,1.040980
4.402000,0.221528,1.196298
4.442000,0.219404,1.345979
4.482000,0.218700,1.489427
4.522000,0.217501,1.627445
4.562000,0.214987,1.759720
4.602000,0.212398,1.887163
4.642000,0.210254,2.009766
4.682000,0.208266,2.127609
4.722000,0.206275,2.240282
4.762000,0.204344,2.348991
4.802000,0.202530,2.453517
4.842000,0.200845,2.554062
4.882000,0.199289,2.650904
4.922000,0.197903,2.743374
4.962000,0.196551,2.832116
5.002000,0.195343,2.917349
5.042000,0.194239,2.999645
5.082000,0.193235,3.078654
5.122000,0.192323,3.154323
5.162000,0.191484,3.226999
5.202000,0.190713,3.296890
5.242000,0.190042,3.364079
5.282000,0.189425,3.428491
5.322000,0.188886,3.490427
5.362000,0.188317,3.549721
5.402000,0.187639,3.606626
5.442000,0.187002,3.661285
5.482000,0.186416,3.713843
5.522000,0.185876,3.756669
5.562000,0.185379,3.781914
5.602000,0.184921,3.789872
5.642000,0.184493,3.790756
5.682000,0.184082,3.808286
5.722000,0.183679,3.852747
5.762000,0.183270,3.897690
5.802000,0.182823,3.940921
5.842000,0.182426,3.982451
5.882000,0.181971,4.022349
5.922000,0.181477,4.060685
5.962000,0.180987,4.097517
6.002000,0.180418,4.132904
6.042000,0.179764,4.166904
