time,tracking_error,contact_force
0.002000,0.328261,-0.000000
0.042000,0.326589,-0.000000
0.082000,0.324693,-0.000000
0.122000,0.322767,-0.000000
0.162000,0.320798,-0.000000
0.202000,0.318727,-0.000000
0.242000,0.316731,-0.000000
0.282000,0.314870,-0.000000
0.322000,0.312967,-0.000000
0.362000,0.311016,-0.000000
0.402000,0.309038,-0.000000
0.442000,0.307319,-0.000000
0.482000,0.305559,-0.000000
0.522000,0.303774,-0.000000
0.562000,0.301891,-0.000000
0.602000,0.300235,-0.000000
0.642000,0.298639,-0.000000
0.682000,0.297010,-0.000000
0.722000,0.295368,-0.000000
0.762000,0.293631,-0.000000
0.802000,0.292148,-0.000000
0.842000,0.290717,-0.000000
0.882000,0.289258,-0.000000
0.922000,0.287802,-0.000000
0.962000,0.286319,-0.000000
1.002000,0.284770,-0.000000
1.042000,0.283539,-0.000000
1.082000,0.282296,-0.000000
1.122000,0.281026,-0.000000
1.162000,0.279757,-0.000000
1.202000,0.278492,-0.000000
1.242000,0.277179,-0.000000
1.282000,0.275879,-0.000000
1.322000,0.274870,-0.000000
1.362000,0.273833,-0.000000
1.402000,0.272780,-0.000000
1.442000,0.271732,-0.000000
1.482000,0.270699,-0.000000
1.522000,0.269678,-0.000000
1.562000,0.268639,-0.000000
1.602000,0.267518,-0.000000
1.642000,0.266583,-0.000000
1.682000,0.265813,-0.000000
1.722000,0.265011,-0.000000
1.762000,0.264194,-0.000000
1.802000,0.263380,-0.000000
1.842000,0.262577,-0.000000
1.882000,0.261789,-0.000000
1.922000,0.261016,-0.000000
1.962000,0.260249,-0.000000
2.002000,0.259468,-0.000000
2.042000,0.258618,-0.000000
2.082000,0.257754,-0.000000
2.122000,0.257211,-0.000000
2.162000,0.256685,-0.000000
2.202000,0.256135,-0.000000
2.242000,0.255575,-0.000000
2.282000,0.255015,-0.000000
2.322000,0.254462,-0.000000
2.362000,0.253919,-0.000000
2.402000,0.253389,-0.000000
2.442000,0.252873,-0.000000
2.482000,0.252369,-0.000000
2.522000,0.251879,-0.000000
2.562000,0.251399,-0.000000
2.602000,0.250926,-0.000000
2.642000,0.250456,-0.000000
2.682000,0.249977,-0.000000
2.722000,0.249482,-0.000000
2.762000,0.248957,-0.000000
2.802000,0.248386,-0.000000
2.842000,0.248027,-0.000000
2.882000,0.247776,-0.000000
2.922000,0.247516,-0.000000
2.962000,0.247247,-0.000000
3.002000,0.246974,-0.000000
3.042000,0.246700,-0.000000
3.082000,0.246427,-0.000000
3.122000,0.246158,-0.000000
3.162000,0.245894,-0.000000
3.202000,0.245636,-0.000000
3.242000,0.245384,-0.000000
3.282000,0.245139,-0.000000
3.322000,0.244901,-0.000000
3.362000,0.244671,-0.000000
3.402000,0.244447,-0.000000
3.442000,0.244232,-0.000000
3.482000,0.244023,-0.000000
3.522000,0.243821,-0.000000
3.562000,0.243626,-0.000000
3.602000,0.243437,-0.000000
3.642000,0.243255,-0.000000
3.682000,0.243079,-0.000000
3.722000,0.242909,-0.000000
3.762000,0.242745,-0.000000
3.802000,0.242586,-0.000000
3.842000,0.242433,-0.000000
3.882000,0.242284,-0.000000
3.922000,0.242141,-0.000000
3.962000,0.242002,-0.000000
4.002000,0.241867,-0.000000
4.042000,0.241737,-0.000000
4.082000,0.241610,-0.000000
4.122000,0.241488,-0.000000
4.162000,0.241369,-0.000000
4.202000,0.241253,-0.000000
4.242000,0.241140,-0.000000
4.282000,0.241031,-0.000000
4.322000,0.240925,-0.000000
4.362000,0.240821,-0.000000
4.402000,0.240719,-0.000000
4.442000,0.240621,-0.000000
4.482000,0.240524,-0.000000
4.522000,0.240429,-0.000000
4.562000,0.240337,-0.000000
4.602000,0.240246,-0.000000
4.642000,0.240157,-0.000000
4.682000,0.240070,-0.000000
4.722000,0.239984,-0.000000
4.762000,0.239900,-0.000000
4.802000,0.239818,-0.000000
4.842000,0.239736,-0.000000
4.882000,0.239656,-0.000000
4.922000,0.239577,-0.000000
4.962000,0.239500,-0.000000
5.002000,0.239423,-0.000000
5.042000,0.239347,-0.000000
5.082000,0.239273,-0.000000
5.122000,0.239200,-0.000000
5.162000,0.239127,-0.000000
5.202000,0.239056,-0.000000
5.242000,0.238987,-0.000000
5.282000,0.238918,-0.000000
5.322000,0.238851,-0.000000
5.362000,0.238791,-0.000000
5.402000,0.238771,-0.000000
5.442000,0.238753,-0.000000
5.482000,0.238737,-0.000000
5.522000,0.238721,-0.000000
5.562000,0.238705,-0.000000
5.602000,0.238690,-0.000000
5.642000,0.238675,-0.000000
5.682000,0.238660,-0.000000
5.722000,0.238646,-0.000000
5.762000,0.238633,-0.000000
5.802000,0.238620,-0.000000
5.842000,0.238607,-0.000000
5.882000,0.238594,-0.000000
5.922000,0.238582,-0.000000
5.962000,0.238571,-0.000000
6.002000,0.238560,-0.000000
6.042000,0.238549,-0.000000
6.082000,0.238538,-0.000000
6.122000,0.238528,-0.000000
6.162000,0.238518,-0.000000
6.202000,0.238509,-0.000000
6.242000,0.238499,-0.000000
6.282000,0.238491,-0.000000
6.322000,0.238482,-0.000000
