time,tracking_error,contact_force
0.002000,0.328283,-0.000000
0.042000,0.327832,-0.000000
0.082000,0.327026,-0.000000
0.122000,0.325946,-0.000000
0.162000,0.324658,-0.000000
0.202000,0.323212,-0.000000
0.242000,0.321643,-0.000000
0.282000,0.319976,-0.000000
0.322000,0.318222,-0.000000
0.362000,0.316437,-0.000000
0.402000,0.314631,-0.000000
0.442000,0.312812,-0.000000
0.482000,0.310982,-0.000000
0.522000,0.309123,-0.000000
0.562000,0.307158,-0.000000
0.602000,0.304970,-0.000000
0.642000,0.302516,-0.000000
0.682000,0.299852,-0.000000
0.722000,0.297088,-0.000000
0.762000,0.294377,-0.000000
0.802000,0.291717,-0.000000
0.842000,0.289006,-0.000000
0.882000,0.286242,-0.000000
0.922000,0.283602,-0.000000
0.962000,0.281069,-0.000000
1.002000,0.278476,-0.000000
1.042000,0.275721,-0.000000
1.082000,0.272798,-0.000000
1.122000,0.269669,-0.000000
1.162000,0.266331,-0.000000
1.202000,0.262791,-0.000000
1.242000,0.259082,-0.000000
1.282000,0.255298,-0.000000
1.322000,0.251549,-0.000000
1.362000,0.247880,-0.000000
1.402000,0.244315,-0.000000
1.442000,0.240867,-0.000000
1.482000,0.237547,-0.000000
1.522000,0.234378,-0.000000
1.562000,0.231387,-0.000000
1.602000,0.228593,-0.000000
1.642000,0.225993,-0.000000
1.682000,0.223587,-0.000000
1.722000,0.221369,-0.000000
1.762000,0.219293,-0.000000
1.802000,0.217325,-0.000000
1.842000,0.215465,-0.000000
1.882000,0.213712,-0.000000
1.922000,0.212062,-0.000000
1.962000,0.210513,-0.000000
2.002000,0.209063,-0.000000
2.042000,0.207710,-0.000000
2.082000,0.206443,-0.000000
2.122000,0.205255,-0.000000
2.162000,0.204136,-0.000000
2.202000,0.203083,-0.000000
2.242000,0.202089,-0.000000
2.282000,0.201150,-0.000000
2.322000,0.200262,-0.000000
2.362000,0.199422,-0.000000
2.402000,0.198624,-0.000000
2.442000,0.197867,-0.000000
2.482000,0.197146,-0.000000
2.522000,0.196490,-0.000000
2.562000,0.195843,-0.000000
2.602000,0.195216,-0.000000
2.642000,0.194614,-0.000000
2.682000,0.194039,-0.000000
2.722000,0.193492,-0.000000
2.762000,0.192978,-0.000000
2.802000,0.192492,-0.000000
2.842000,0.192031,-0.000000
2.882000,0.191591,-0.000000
2.922000,0.191170,-0.000000
2.962000,0.190764,-0.000000
3.002000,0.190371,-0.000000
3.042000,0.189982,-0.000000
3.082000,0.189594,-0.000000
3.122000,0.189210,-0.000000
3.162000,0.188833,-0.000000
3.202000,0.188471,-0.000000
3.242000,0.188122,-0.000000
3.282000,0.187787,-0.000000
3.322000,0.187467,-0.000000
3.362000,0.187163,-0.000000
3.402000,0.186877,-0.000000
3.442000,0.186611,-0.000000
3.482000,0.186368,-0.000000
3.522000,0.186146,-0.000000
3.562000,0.185935,-0.000000
3.602000,0.185911,-0.000000
3.642000,0.185849,-0.000000
3.682000,0.185784,-0.000000
3.722000,0.185715,-0.000000
3.762000,0.185684,-0.000000
3.802000,0.185695,-0.000000
3.842000,0.185586,-0.000000
3.882000,0.185424,-0.000000
3.922000,0.185235,-0.000000
3.962000,0.185048,-0.000000
4.002000,0.184906,-0.000000
4.042000,0.184781,-0.000000
4.082000,0.184672,-0.000000
4.122000,0.184601,-0.000000
4.162000,0.184700,-0.000000
4.202000,0.184833,-0.000000
4.242000,0.184998,-0.000000
4.282000,0.185224,-0.000000
4.322000,0.185493,-0.000000
4.362000,0.185778,-0.000000
4.402000,0.186302,-0.000000
4.442000,0.187012,-0.000000
4.482000,0.187548,-0.000000
4.522000,0.187918,-0.000000
4.562000,0.188157,-0.000000
4.602000,0.188295,-0.000000
4.642000,0.188353,-0.000000
4.682000,0.188350,-0.000000
4.722000,0.188298,-0.000000
4.762000,0.188208,-0.000000
4.802000,0.188115,-0.000000
4.842000,0.188095,-0.000000
4.882000,0.188126,-0.000000
4.922000,0.188160,-0.000000
4.962000,0.188189,-0.000000
5.002000,0.188210,-0.000000
5.042000,0.188373,-0.000000
5.082000,0.188701,-0.000000
5.122000,0.189017,-0.000000
5.162000,0.189323,-0.000000
5.202000,0.189662,-0.000000
5.242000,0.190107,-0.000000
5.282000,0.190674,-0.000000
5.322000,0.191282,-0.000000
5.362000,0.191849,-0.000000
5.402000,0.192421,-0.000000
5.442000,0.193195,-0.000000
5.482000,0.193830,-0.000000
5.522000,0.194354,-0.000000
5.562000,0.194800,-0.000000
