time,h,V,u_max,u_0,u_1,u_2,u_3,u_4,u_5
0.002000,nan,nan,1325892.293288,-120898.417231,562190.142595,3478.161467,-51156.516998,1325892.293288,1332.629762
0.042000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.082000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.122000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.162000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.202000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.242000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.282000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.322000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.362000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.402000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.442000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.482000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.522000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.562000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.602000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.642000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.682000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.722000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.762000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.802000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.842000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.882000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.922000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.962000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.002000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.042000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.082000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.122000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.162000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.202000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.242000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.282000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.322000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.362000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.402000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.442000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.482000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.522000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.562000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.602000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.642000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.682000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.722000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.762000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.802000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.842000,nan,nan,nan,nan,nan,nan,nan,nan,nan
