time,h,V,u_max,u_0,u_1,u_2,u_3,u_4,u_5
0.002000,nan,nan,11877.967399,-272.477200,11877.967399,-14.856581,127.986716,-402.534936,-11.943393
0.042000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.082000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.122000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.162000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.202000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.242000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.282000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.322000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.362000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.402000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.442000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.482000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.522000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.562000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.602000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.642000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.682000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.722000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.762000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.802000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.842000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.882000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.922000,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.962000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.002000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.042000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.082000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.122000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.162000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.202000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.242000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.282000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.322000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.362000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.402000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.442000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.482000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.522000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.562000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.602000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.642000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.682000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.722000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.762000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.802000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.842000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.882000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.922000,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.962000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.002000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.042000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.082000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.122000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.162000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.202000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.242000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.282000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.322000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.362000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.402000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.442000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.482000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.522000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.562000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.602000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.642000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.682000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.722000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.762000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.802000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.842000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.882000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.922000,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.962000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.002000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.042000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.082000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.122000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.162000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.202000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.242000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.282000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.322000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.362000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.402000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.442000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.482000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.522000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.562000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.602000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.642000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.682000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.722000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.762000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.802000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.842000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.882000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.922000,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.962000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.002000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.042000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.082000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.122000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.162000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.202000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.242000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.282000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.322000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.362000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.402000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.442000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.482000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.522000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.562000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.602000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.642000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.682000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.722000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.762000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.802000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.842000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.882000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.922000,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.962000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.002000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.042000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.082000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.122000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.162000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.202000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.242000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.282000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.322000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.362000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.402000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.442000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.482000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.522000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.562000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.602000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.642000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.682000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.722000,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.762000,nan,nan,nan,nan,nan,nan,nan,nan,nan
