time,h,V,u_max,u_0,u_1,u_2,u_3,u_4,u_5
0.002000,1.000000,0.732386,0.008276,0.008276,0.000250,0.000016,-0.003980,0.000495,-0.000023
0.042000,1.000000,0.780405,0.001910,-0.001910,0.000513,0.000015,0.000029,-0.000956,-0.000033
0.082000,1.000000,1.081907,0.413368,-0.027258,-0.002955,0.084447,-0.003481,0.075342,-0.413368
0.122000,1.000000,1.238470,0.651684,-0.007182,0.201209,-0.651684,0.001117,0.124708,-0.280466
0.162000,1.000000,0.986472,0.381084,-0.007059,-0.000002,-0.381084,-0.002402,0.115901,-0.166100
0.202000,1.000000,0.950468,0.330003,-0.006029,-0.013889,-0.330003,-0.002137,0.114995,-0.140191
0.242000,1.000000,0.946325,0.325190,-0.006454,-0.019373,-0.325190,-0.002337,0.122375,-0.131315
0.282000,1.000000,0.949786,0.326562,-0.007154,-0.020563,-0.326562,-0.002564,0.126263,-0.126848
0.322000,1.000000,0.957678,0.326551,-0.009771,-0.004417,-0.326551,-0.003098,0.135155,-0.122407
0.362000,1.000000,0.967561,0.326847,-0.011892,0.010187,-0.326847,-0.003505,0.144493,-0.118481
0.402000,1.000000,0.977431,0.328685,-0.012331,0.012911,-0.328685,-0.003583,0.146878,-0.116481
0.442000,1.000000,0.986965,0.330657,-0.012536,0.014016,-0.330657,-0.003616,0.148278,-0.114771
0.482000,1.000000,0.894915,0.366907,-0.001109,0.140909,-0.027038,0.002134,0.366907,-0.024097
0.522000,1.000000,1.069154,0.285714,-0.008678,0.105934,-0.082438,-0.002840,0.285714,-0.000682
0.562000,1.000000,0.984759,0.254145,-0.014380,0.106325,-0.081667,-0.005566,0.254145,0.003831
0.602000,1.000000,0.896905,0.248059,-0.032663,0.142025,-0.038567,-0.012418,0.170007,-0.248059
0.642000,1.000000,0.889079,0.397979,-0.009832,-0.066261,-0.397979,-0.005769,0.140305,-0.203807
0.682000,1.000000,0.860472,0.187354,-0.009588,0.057288,-0.101898,-0.004078,0.187354,-0.124450
0.722000,1.000000,0.827582,0.192043,-0.010070,0.077020,-0.065867,-0.003824,0.192043,-0.110220
0.762000,1.000000,0.795250,0.191237,-0.010733,0.083128,-0.064937,-0.003771,0.191237,-0.105076
0.802000,1.000000,0.764087,0.189761,-0.011409,0.087388,-0.068484,-0.003746,0.189761,-0.101320
0.842000,1.000000,0.734132,0.188244,-0.012065,0.091333,-0.072359,-0.003726,0.188244,-0.097890
0.882000,1.000000,0.705350,0.186767,-0.012697,0.095161,-0.076019,-0.003707,0.186767,-0.094635
0.922000,1.000000,0.677697,0.185339,-0.013302,0.098893,-0.079408,-0.003689,0.185339,-0.091527
0.962000,1.000000,0.651128,0.183960,-0.013884,0.102532,-0.082538,-0.003671,0.183960,-0.088556
1.002000,1.000000,0.625600,0.182628,-0.014442,0.106076,-0.085425,-0.003655,0.182628,-0.085715
1.042000,1.000000,0.601074,0.181342,-0.014977,0.109524,-0.088089,-0.003639,0.181342,-0.082999
1.082000,1.000000,0.577510,0.180101,-0.015491,0.112876,-0.090546,-0.003624,0.180101,-0.080400
1.122000,1.000000,0.554869,0.178902,-0.015984,0.116131,-0.092811,-0.003609,0.178902,-0.077914
1.162000,1.000000,0.533117,0.177745,-0.016458,0.119290,-0.094899,-0.003595,0.177745,-0.075536
1.202000,1.000000,0.512217,0.176628,-0.016913,0.122355,-0.096823,-0.003582,0.176628,-0.073259
1.242000,1.000000,0.492137,0.175551,-0.017349,0.125324,-0.098597,-0.003569,0.175551,-0.071080
1.282000,1.000000,0.472845,0.174510,-0.017768,0.128201,-0.100230,-0.003557,0.174510,-0.068994
1.322000,1.000000,0.454309,0.173507,-0.018170,0.130986,-0.101735,-0.003545,0.173507,-0.066996
1.362000,1.000000,0.436499,0.172538,-0.018557,0.133681,-0.103120,-0.003534,0.172538,-0.065084
1.402000,1.000000,0.419389,0.171604,-0.018927,0.136287,-0.104395,-0.003523,0.171604,-0.063252
1.442000,1.000000,0.402949,0.170702,-0.019283,0.138807,-0.105569,-0.003513,0.170702,-0.061497
1.482000,1.000000,0.387154,0.169833,-0.019625,0.141242,-0.106649,-0.003503,0.169833,-0.059816
1.522000,1.000000,0.371978,0.168994,-0.019953,0.143594,-0.107642,-0.003493,0.168994,-0.058206
1.562000,1.000000,0.357397,0.168186,-0.020269,0.145866,-0.108556,-0.003484,0.168186,-0.056663
1.602000,1.000000,0.343388,0.167406,-0.020571,0.148059,-0.109395,-0.003475,0.167406,-0.055184
1.642000,1.000000,0.329929,0.166654,-0.020862,0.150175,-0.110167,-0.003467,0.166654,-0.053767
1.682000,1.000000,0.316997,0.165929,-0.021141,0.152217,-0.110877,-0.003459,0.165929,-0.052409
1.722000,1.000000,0.304572,0.165230,-0.021409,0.154187,-0.111528,-0.003451,0.165230,-0.051107
1.762000,1.000000,0.292635,0.164557,-0.021666,0.156087,-0.112126,-0.003444,0.164557,-0.049859
1.802000,1.000000,0.281165,0.163908,-0.021914,0.157919,-0.112675,-0.003437,0.163908,-0.048662
1.842000,1.000000,0.270146,0.163283,-0.022151,0.159684,-0.113179,-0.003430,0.163283,-0.047515
1.882000,1.000000,0.259558,0.162680,-0.022379,0.161386,-0.113641,-0.003424,0.162680,-0.046415
1.922000,1.000000,0.249386,0.163026,-0.022598,0.163026,-0.114065,-0.003417,0.162099,-0.045360
1.962000,1.000000,0.239612,0.164606,-0.022808,0.164606,-0.114454,-0.003411,0.161540,-0.044349
2.002000,1.000000,0.230222,0.166128,-0.023010,0.166128,-0.114810,-0.003406,0.161001,-0.043378
2.042000,1.000000,0.221200,0.167594,-0.023204,0.167594,-0.115136,-0.003400,0.160482,-0.042448
2.082000,1.000000,0.212532,0.169006,-0.023391,0.169006,-0.115434,-0.003395,0.159982,-0.041555
2.122000,1.000000,0.204204,0.170365,-0.023570,0.170365,-0.115707,-0.003390,0.159500,-0.040699
2.162000,1.000000,0.196202,0.171674,-0.023741,0.171674,-0.115957,-0.003385,0.159037,-0.039877
2.202000,1.000000,0.188514,0.172934,-0.023907,0.172934,-0.116185,-0.003380,0.158590,-0.039089
2.242000,1.000000,0.181127,0.174147,-0.024065,0.174147,-0.116394,-0.003376,0.158160,-0.038333
2.282000,1.000000,0.174031,0.175315,-0.024217,0.175315,-0.116584,-0.003371,0.157747,-0.037607
2.322000,1.000000,0.167212,0.176438,-0.024364,0.176438,-0.116758,-0.003367,0.157348,-0.036911
2.362000,1.000000,0.160661,0.177519,-0.024504,0.177519,-0.116916,-0.003363,0.156965,-0.036243
2.402000,1.000000,0.154367,0.178560,-0.024639,0.178560,-0.117060,-0.003359,0.156595,-0.035602
2.442000,1.000000,0.148319,0.179561,-0.024769,0.179561,-0.117192,-0.003356,0.156240,-0.034987
2.482000,1.000000,0.142509,0.180524,-0.024894,0.180524,-0.117311,-0.003352,0.155898,-0.034396
2.522000,1.000000,0.136926,0.181450,-0.025013,0.181450,-0.117420,-0.003349,0.155569,-0.033830
2.562000,1.000000,0.131563,0.182342,-0.025128,0.182342,-0.117519,-0.003346,0.155252,-0.033286
2.602000,1.000000,0.126410,0.183199,-0.025239,0.183199,-0.117608,-0.003342,0.154947,-0.032764
2.642000,1.000000,0.121458,0.184024,-0.025345,0.184024,-0.117689,-0.003339,0.154654,-0.032263
2.682000,1.000000,0.116701,0.184817,-0.025447,0.184817,-0.117762,-0.003337,0.154372,-0.031782
2.722000,1.000000,0.112131,0.185580,-0.025545,0.185580,-0.117829,-0.003334,0.154100,-0.031320
2.762000,1.000000,0.107740,0.186313,-0.025639,0.186313,-0.117889,-0.003331,0.153839,-0.030877
2.802000,1.000000,0.103521,0.187019,-0.025729,0.187019,-0.117943,-0.003329,0.153588,-0.030451
2.842000,1.000000,0.099467,0.187697,-0.025816,0.187697,-0.117991,-0.003326,0.153346,-0.030043
2.882000,1.000000,0.095572,0.188350,-0.025899,0.188350,-0.118035,-0.003324,0.153114,-0.029651
2.922000,1.000000,0.091830,0.188977,-0.025979,0.188977,-0.118074,-0.003322,0.152890,-0.029274
2.962000,1.000000,0.088235,0.189580,-0.026056,0.189580,-0.118109,-0.003319,0.152675,-0.028912
3.002000,1.000000,0.084781,0.190160,-0.026130,0.190160,-0.118140,-0.003317,0.152468,-0.028565
3.042000,1.000000,0.081462,0.190718,-0.026201,0.190718,-0.118168,-0.003315,0.152269,-0.028232
3.082000,1.000000,0.078274,0.191254,-0.026269,0.191254,-0.118193,-0.003314,0.152078,-0.027912
3.122000,1.000000,0.075210,0.191769,-0.026335,0.191769,-0.118214,-0.003312,0.151894,-0.027605
3.162000,1.000000,0.072267,0.192264,-0.026398,0.192264,-0.118234,-0.003310,0.151717,-0.027310
3.202000,1.000000,0.069438,0.192741,-0.026458,0.192741,-0.118250,-0.003308,0.151547,-0.027026
3.242000,1.000000,0.066721,0.193198,-0.026516,0.193198,-0.118265,-0.003307,0.151383,-0.026754
3.282000,1.000000,0.064111,0.193639,-0.026572,0.193639,-0.118278,-0.003305,0.151226,-0.026493
3.322000,1.000000,0.061602,0.194062,-0.026626,0.194062,-0.118289,-0.003304,0.151074,-0.026242
3.362000,1.000000,0.059193,0.194468,-0.026677,0.194468,-0.118298,-0.003302,0.150929,-0.026001
3.402000,1.000000,0.056877,0.194859,-0.026727,0.194859,-0.118306,-0.003301,0.150789,-0.025770
3.442000,1.000000,0.054653,0.195235,-0.026774,0.195235,-0.118313,-0.003299,0.150654,-0.025547
3.482000,1.000000,0.052515,0.195596,-0.026820,0.195596,-0.118318,-0.003298,0.150525,-0.025334
3.522000,1.000000,0.050462,0.195943,-0.026864,0.195943,-0.118323,-0.003297,0.150401,-0.025129
3.562000,1.000000,0.048489,0.196277,-0.026906,0.196277,-0.118326,-0.003296,0.150281,-0.024932
3.602000,1.000000,0.046593,0.196597,-0.026946,0.196597,-0.118329,-0.003295,0.150166,-0.024743
3.642000,1.000000,0.044772,0.196906,-0.026985,0.196906,-0.118330,-0.003293,0.150056,-0.024561
3.682000,1.000000,0.043022,0.197202,-0.027023,0.197202,-0.118331,-0.003292,0.149950,-0.024387
3.722000,1.000000,0.041341,0.197486,-0.027059,0.197486,-0.118332,-0.003291,0.149848,-0.024219
3.762000,1.000000,0.039725,0.197760,-0.027093,0.197760,-0.118332,-0.003290,0.149749,-0.024059
3.802000,1.000000,0.038173,0.198023,-0.027126,0.198023,-0.118331,-0.003290,0.149655,-0.023904
3.842000,1.000000,0.036682,0.198276,-0.027158,0.198276,-0.118330,-0.003289,0.149564,-0.023756
3.882000,1.000000,0.035249,0.198518,-0.027189,0.198518,-0.118329,-0.003288,0.149477,-0.023613
3.922000,1.000000,0.033873,0.198752,-0.027218,0.198752,-0.118327,-0.003287,0.149394,-0.023476
3.962000,1.000000,0.032550,0.198976,-0.027246,0.198976,-0.118325,-0.003286,0.149313,-0.023344
4.002000,1.000000,0.031280,0.199192,-0.027274,0.199192,-0.118323,-0.003285,0.149236,-0.023218
4.042000,1.000000,0.030059,0.199399,-0.027300,0.199399,-0.118321,-0.003285,0.149161,-0.023097
4.082000,1.000000,0.028886,0.199598,-0.027325,0.199598,-0.118318,-0.003284,0.149090,-0.022980
4.122000,1.000000,0.027759,0.199789,-0.027349,0.199789,-0.118315,-0.003283,0.149021,-0.022868
4.162000,1.000000,0.026676,0.199973,-0.027372,0.199973,-0.118313,-0.003283,0.148955,-0.022761
4.202000,1.000000,0.025636,0.200150,-0.027394,0.200150,-0.118310,-0.003282,0.148892,-0.022657
4.242000,1.000000,0.024636,0.200319,-0.027415,0.200319,-0.118306,-0.003281,0.148831,-0.022558
4.282000,1.000000,0.023676,0.200483,-0.027436,0.200483,-0.118303,-0.003281,0.148772,-0.022463
4.322000,1.000000,0.022753,0.200639,-0.027456,0.200639,-0.118300,-0.003280,0.148716,-0.022371
4.362000,1.000000,0.021867,0.200790,-0.027474,0.200790,-0.118297,-0.003280,0.148661,-0.022283
4.402000,1.000000,0.021015,0.200935,-0.027493,0.200935,-0.118294,-0.003279,0.148609,-0.022198
