time,h_tail,h_min,V
1.000000000000000021e-03,1.232686013564612132e-01,-6.741693120353269009e-04,1.902386820477236729e+00
2.100000000000001171e-02,1.226010992474446254e-01,-6.634880747905906595e-04,1.896222014607499506e+00
4.100000000000002948e-02,1.217473299057082875e-01,-6.503990006243957900e-04,1.888808733202196777e+00
6.100000000000004724e-02,1.208645651207698596e-01,-6.370688689911578606e-04,1.881682135648630183e+00
8.100000000000005806e-02,1.199640891122152470e-01,-6.204300948802025928e-04,1.874648231848865532e+00
1.010000000000000758e-01,1.190458843170534992e-01,-6.021846499153320209e-04,1.867632223484162468e+00
1.210000000000000936e-01,1.181064438668361499e-01,-5.838981310727180130e-04,1.860624774626532751e+00
1.410000000000000975e-01,1.171528807051287896e-01,-5.600832551796268433e-04,1.853633919479341419e+00
1.610000000000001152e-01,1.161885341041742764e-01,-5.294463349818472053e-04,1.846666197021287203e+00
1.810000000000001330e-01,1.152089492380342778e-01,-4.983302083044031938e-04,1.839721165490450616e+00
2.010000000000001508e-01,1.142134252914128872e-01,-4.655542595892007973e-04,1.832792190232061191e+00
2.210000000000001685e-01,1.132122556778859673e-01,-4.213681752292357252e-04,1.825892139751079224e+00
2.410000000000001863e-01,1.122049667730985606e-01,-3.675670600878748473e-04,1.819021659508502697e+00
2.610000000000001763e-01,1.111860951645896184e-01,-3.135335736299919851e-04,1.812180466872086670e+00
2.810000000000001941e-01,1.101547109200020219e-01,-2.582646472685627692e-04,1.805361812844955782e+00
3.010000000000002118e-01,1.091221375674682609e-01,-1.888227544400260249e-04,1.798578039213636126e+00
3.210000000000002296e-01,1.080902667692971025e-01,-1.027161962220239644e-04,1.791829167079920904e+00
3.410000000000002474e-01,1.070524605070861529e-01,-1.287632776729094597e-05,1.785115948597181923e+00
3.610000000000002651e-01,1.060046070646869926e-01,7.561485422992800243e-05,1.778432541754085383e+00
3.810000000000002829e-01,1.049526976439913023e-01,1.718212173371265472e-04,1.771781413929537141e+00
4.010000000000003006e-01,1.039074938658648278e-01,2.890833542075928186e-04,1.765172862110442775e+00
4.210000000000003184e-01,1.028679102213809621e-01,4.260795283651148957e-04,1.758602724020514430e+00
4.410000000000003362e-01,1.018250378629944469e-01,5.402193442391074740e-04,1.752071597140524517e+00
4.610000000000003539e-01,1.007746730399309149e-01,6.286198284851281237e-04,1.745573826334319234e+00
4.810000000000003717e-01,9.972352465493779239e-02,7.236253734933147108e-04,1.739112063835332345e+00
5.010000000000003340e-01,9.868448991193519426e-02,8.228226689694535800e-04,1.732698081498837084e+00
5.210000000000003517e-01,9.765790086049551399e-02,9.066428305871294946e-04,1.726328497481023572e+00
5.410000000000003695e-01,9.663631512259680811e-02,9.986654894738773713e-04,1.720000716028155630e+00
5.610000000000003872e-01,9.561051423899306900e-02,1.089414088668212016e-03,1.713711716465725843e+00
5.810000000000004050e-01,9.458025921511210854e-02,1.147585025580506041e-03,1.707456683137051456e+00
6.010000000000004228e-01,9.356233226174125173e-02,1.204555049635087222e-03,1.701250218554375415e+00
6.210000000000004405e-01,9.256285634000628593e-02,1.276801076963391540e-03,1.695096099782564814e+00
6.410000000000004583e-01,9.158141544463167805e-02,1.364329219129229581e-03,1.688990642410694409e+00
6.610000000000004761e-01,9.060810675509591017e-02,1.439071565843458994e-03,1.682929777767072421e+00
6.810000000000004938e-01,8.963191529867138574e-02,1.483720808276151742e-03,1.676908190755523220e+00
7.010000000000005116e-01,8.865330358355573426e-02,1.528660980656588314e-03,1.670922381215459440e+00
7.210000000000005294e-01,8.769192073534136378e-02,1.584393632081754905e-03,1.664990335900805807e+00
7.410000000000005471e-01,8.675440929407272905e-02,1.654322658270441365e-03,1.659116577253765046e+00
7.610000000000005649e-01,8.584055928468793673e-02,1.724058714031435208e-03,1.653298122444864848e+00
7.810000000000005826e-01,8.494632761449814884e-02,1.767793670985413207e-03,1.647530583412786243e+00
8.010000000000006004e-01,8.405360822398393050e-02,1.812229647348912592e-03,1.641804927234247424e+00
8.210000000000006182e-01,8.315737477299821323e-02,1.855604532177219240e-03,1.636114771731510764e+00
8.410000000000006359e-01,8.227193785683360738e-02,1.904510452130876025e-03,1.630472435480795568e+00
8.610000000000006537e-01,8.141423526732326221e-02,1.966229089455612949e-03,1.624894476755981199e+00
8.810000000000006715e-01,8.058484810070067061e-02,2.018497235802069883e-03,1.619379295063665181e+00
