time,tracking_error,contact_force
0.002000,0.327983,-0.000000
0.042000,0.325403,-0.000000
0.082000,0.323006,-0.000000
0.122000,0.320829,-0.000000
0.162000,0.318622,-0.000000
0.202000,0.316422,-0.000000
0.242000,0.314240,-0.000000
0.282000,0.312084,-0.000000
0.322000,0.309954,-0.000000
0.362000,0.307854,-0.000000
0.402000,0.305787,-0.000000
0.442000,0.303755,-0.000000
0.482000,0.301758,-0.000000
0.522000,0.299796,-0.000000
0.562000,0.297867,-0.000000
0.602000,0.295971,-0.000000
0.642000,0.294106,-0.000000
0.682000,0.292272,-0.000000
0.722000,0.290472,-0.000000
0.762000,0.288704,-0.000000
0.802000,0.286969,-0.000000
0.842000,0.285266,-0.000000
0.882000,0.283593,-0.000000
0.922000,0.281952,-0.000000
0.962000,0.280340,-0.000000
1.002000,0.278758,-0.000000
1.042000,0.277205,-0.000000
1.082000,0.275680,-0.000000
1.122000,0.274183,-0.000000
1.162000,0.272713,-0.000000
1.202000,0.271270,-0.000000
1.242000,0.269854,-0.000000
1.282000,0.268463,-0.000000
1.322000,0.267098,-0.000000
1.362000,0.265757,-0.000000
1.402000,0.264441,-0.000000
1.442000,0.263149,-0.000000
1.482000,0.258837,-0.000000
1.522000,0.254296,-0.000000
1.562000,0.249879,-0.000000
1.602000,0.245548,-0.000000
1.642000,0.241287,-0.000000
1.682000,0.237111,-0.000000
1.722000,0.233494,-0.000000
1.762000,0.231500,-0.000000
1.802000,0.229570,-0.000000
1.842000,0.228212,-0.000000
1.882000,0.226805,-0.000000
1.922000,0.225483,-0.000000
1.962000,0.224424,-0.000000
2.002000,0.223693,-0.000000
2.042000,0.222790,-0.000000
2.082000,0.221592,-0.000000
2.122000,0.220280,-0.000000
2.162000,0.219215,-0.000000
2.202000,0.218190,-0.000000
2.242000,0.217212,-0.000000
2.282000,0.216269,-0.000000
2.322000,0.215348,-0.000000
2.362000,0.214440,-0.000000
2.402000,0.213554,-0.000000
2.442000,0.212704,-0.000000
2.482000,0.211899,-0.000000
2.522000,0.211108,-0.000000
2.562000,0.210336,-0.000000
2.602000,0.209583,-0.000000
2.642000,0.208855,-0.000000
2.682000,0.208185,-0.000000
2.722000,0.207522,-0.000000
2.762000,0.206867,-0.000000
2.802000,0.206233,-0.000000
2.842000,0.205608,-0.000000
2.882000,0.205009,-0.000000
2.922000,0.204433,-0.000000
2.962000,0.203873,-0.000000
3.002000,0.203355,-0.000000
3.042000,0.202835,-0.000000
3.082000,0.202325,-0.000000
3.122000,0.201841,-0.000000
3.162000,0.201374,-0.000000
3.202000,0.200922,-0.000000
3.242000,0.200484,-0.000000
3.282000,0.200061,-0.000000
3.322000,0.199656,-0.000000
3.362000,0.199260,-0.000000
3.402000,0.198871,-0.000000
3.442000,0.198501,-0.000000
3.482000,0.198146,-0.000000
3.522000,0.197803,-0.000000
3.562000,0.197472,-0.000000
3.602000,0.197151,-0.000000
3.642000,0.196844,-0.000000
3.682000,0.196547,-0.000000
3.722000,0.196260,-0.000000
3.762000,0.195982,-0.000000
3.802000,0.195716,-0.000000
3.842000,0.195450,-0.000000
3.882000,0.195175,-0.000000
3.922000,0.194927,-0.000000
3.962000,0.194689,-0.000000
4.002000,0.194459,-0.000000
4.042000,0.194237,-0.000000
4.082000,0.194022,-0.000000
4.122000,0.193815,-0.000000
4.162000,0.193614,-0.000000
4.202000,0.193420,-0.000000
4.242000,0.193232,-0.000000
4.282000,0.193050,-0.000000
4.322000,0.192875,-0.000000
4.362000,0.192705,-0.000000
4.402000,0.192540,-0.000000
4.442000,0.192381,-0.000000
4.482000,0.192228,-0.000000
4.522000,0.192079,-0.000000
4.562000,0.191935,-0.000000
4.602000,0.191797,-0.000000
4.642000,0.191663,-0.000000
4.682000,0.191534,-0.000000
4.722000,0.191408,-0.000000
4.762000,0.191285,-0.000000
4.802000,0.191165,-0.000000
4.842000,0.191059,-0.000000
4.882000,0.190996,-0.000000
4.922000,0.191296,-0.000000
4.962000,0.191381,-0.000000
5.002000,0.191267,-0.000000
5.042000,0.191183,-0.000000
5.082000,0.191104,-0.000000
5.122000,0.191027,-0.000000
5.162000,0.190953,-0.000000
5.202000,0.190891,-0.000000
5.242000,0.190833,-0.000000
5.282000,0.190776,-0.000000
5.322000,0.190721,-0.000000
5.362000,0.190674,-0.000000
5.402000,0.190584,-0.000000
5.442000,0.190508,-0.000000
5.482000,0.190442,-0.000000
5.522000,0.190376,-0.000000
5.562000,0.190311,-0.000000
5.602000,0.190247,-0.000000
5.642000,0.190182,-0.000000
5.682000,0.190120,-0.000000
5.722000,0.190059,-0.000000
